Location,Year,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,latitude,longitude
Lesotho,2016,16.6,12.9,20.5,16.6[12.9-20.5],-29.609988,28.233608
Liberia,2016,9.9,7.3,13.1,9.9[7.3-13.1],6.428055,-9.429499
Libya,2016,32.5,27.2,38.1,32.5[27.2-38.1],26.3351,17.228331
Lithuania,2016,26.3,21.4,31.4,26.3[21.4-31.4],55.169438,23.881275
Luxembourg,2016,22.6,18,27.6,22.6[18-27.6],49.815273,6.129583
Madagascar,2016,5.3,3.5,7.6,5.3[3.5-7.6],-18.766947,46.869107
Malawi,2016,5.8,3.9,8,5.8[3.9-8],-13.254308,34.301525
Malaysia,2016,15.6,12.5,19,15.6[12.5-19],4.210484,101.975766
Maldives,2016,8.6,6.1,11.8,8.6[6.1-11.8],3.202778,73.22068
Mali,2016,8.6,6.2,11.5,8.6[6.2-11.5],17.570692,-3.996166
Malta,2016,28.9,23.3,34.7,28.9[23.3-34.7],35.937496,14.375416
Marshall Islands,2016,52.9,46.7,59.1,52.9[46.7-59.1],7.131474,171.184478
Mauritania,2016,12.7,9.3,16.5,12.7[9.3-16.5],21.00789,-10.940835
Mauritius,2016,10.8,7.9,14.4,10.8[7.9-14.4],-20.348404,57.552152
Mexico,2016,28.9,25.2,32.8,28.9[25.2-32.8],23.634501,-102.552784
Micronesia (Federated States of),2016,45.8,39.7,51.8,45.8[39.7-51.8],7.425554,150.550812
Monaco,2016,,,,[-],43.750298,7.412841
Mongolia,2016,20.6,16.3,25,20.6[16.3-25],46.862496,103.846656
Montenegro,2016,23.3,17.9,28.9,23.3[17.9-28.9],42.708678,19.37439
Morocco,2016,26.1,21.1,31.4,26.1[21.1-31.4],31.791702,-7.09262
Mozambique,2016,7.2,5,9.8,7.2[5-9.8],-18.665695,35.529562
Myanmar,2016,5.8,4.1,7.9,5.8[4.1-7.9],21.913965,95.956223
Namibia,2016,17.2,13.3,21.4,17.2[13.3-21.4],-22.95764,18.49041
Nauru,2016,61,55.3,66.6,61[55.3-66.6],-0.522778,166.931503
